productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extCardType
84732,Deino (76),Deino 76,https://tcgplayer-cdn.tcgplayer.com/product/84732_200w.jpg,3,1382,https://cpt.tcgcsv.com/GVH,2025-02-05T21:12:08.147,1,76/116,Common,60,Basic,[2] Slam (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,,Fx2,P-20,2,0.07,0.27,1.5,0.31,,Normal,,
84732,Deino (76),Deino 76,https://tcgplayer-cdn.tcgplayer.com/product/84732_200w.jpg,3,1382,https://cpt.tcgcsv.com/GVH,2025-02-05T21:12:08.147,1,76/116,Common,60,Basic,[2] Slam (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,,Fx2,P-20,2,0.33,0.8,3.12,0.86,,Reverse Holofoil,,
84775,Deoxys EX (Team Plasma),Deoxys EX Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84775_200w.jpg,3,1382,https://cpt.tcgcsv.com/wWH,2023-01-10T16:03:01.383,1,53/116,Ultra Rare,170,Basic,"[1P] Helix Force (30+) If this Pokemon has any Plasma Energy attached to it, this attack does 30 more damage for each Energy attached to the Defending Pokemon.",,Px2,,2,13.9,15.8,25.56,28.4,,Holofoil,Power Connect - Your Team Plasma Pokemon's attacks (excluding Deoxys-EX) do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),
84777,Deoxys EX (Team Plasma) (Full Art),Deoxys EX Team Plasma Full Art,https://tcgplayer-cdn.tcgplayer.com/product/84777_200w.jpg,3,1382,https://cpt.tcgcsv.com/zWH,2023-01-10T16:15:39.4,1,111/116,Ultra Rare,170,Basic,"[1P] Helix Force (30+) If this Pokemon has any Plasma Energy attached to it, this attack does 30 more damage for each Energy attached to the Defending Pokemon.",,Px2,,2,220.0,389.85,888.98,397.5,469.99,Holofoil,Power Connect - Your Team Plasma Pokemon's attacks (excluding Deoxys-EX) do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),Psychic
84904,Dragonair,Dragonair,https://tcgplayer-cdn.tcgplayer.com/product/84904_200w.jpg,3,1382,https://cpt.tcgcsv.com/6-H,2023-01-10T16:11:35.137,1,82/116,Uncommon,70,Stage 1,"[L] Wrap (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2G] Tail Smack (50),Ox2,,1,0.88,1.49,4.99,1.42,1.27,Normal,,
84904,Dragonair,Dragonair,https://tcgplayer-cdn.tcgplayer.com/product/84904_200w.jpg,3,1382,https://cpt.tcgcsv.com/6-H,2023-01-10T16:11:35.137,1,82/116,Uncommon,70,Stage 1,"[L] Wrap (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2G] Tail Smack (50),Ox2,,1,4.19,6.37,15.0,6.66,,Reverse Holofoil,,
84916,Dragonite,Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/84916_200w.jpg,3,1382,https://cpt.tcgcsv.com/l-H,2026-01-06T16:49:40.007,1,83/116,Holo Rare,150,Stage 2,[3] Deafen (60) Your opponent can't play any Item cards from his or her hand during his or her next turn.,[2GL] Healwing (90) Heal 30 damage from this Pokemon.,Ox2,,3,18.97,30.0,99.99,18.97,,Holofoil,,
84916,Dragonite,Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/84916_200w.jpg,3,1382,https://cpt.tcgcsv.com/l-H,2026-01-06T16:49:40.007,1,83/116,Holo Rare,150,Stage 2,[3] Deafen (60) Your opponent can't play any Item cards from his or her hand during his or her next turn.,[2GL] Healwing (90) Heal 30 damage from this Pokemon.,Ox2,,3,17.15,29.99,50.0,25.31,,Reverse Holofoil,,
84939,Dratini,Dratini,https://tcgplayer-cdn.tcgplayer.com/product/84939_200w.jpg,3,1382,https://cpt.tcgcsv.com/P-H,2023-01-10T16:11:26.827,1,81/116,Common,50,Basic,[G] Shed Skin - Heal 20 damage from this Pokemon.,[1L] Tail Smack (20),Ox2,,1,0.13,0.37,5.0,0.4,,Normal,,
84939,Dratini,Dratini,https://tcgplayer-cdn.tcgplayer.com/product/84939_200w.jpg,3,1382,https://cpt.tcgcsv.com/P-H,2023-01-10T16:11:26.827,1,81/116,Common,50,Basic,[G] Shed Skin - Heal 20 damage from this Pokemon.,[1L] Tail Smack (20),Ox2,,1,1.64,5.99,15.0,6.5,,Reverse Holofoil,,
85092,Eevee (89),Eevee 89,https://tcgplayer-cdn.tcgplayer.com/product/85092_200w.jpg,3,1382,https://cpt.tcgcsv.com/S2J,2025-12-04T05:35:55.467,1,89/116,Common,60,Basic,"[1] Growl - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","[2] Quick Attack (10+) Flip a coin.  If heads, this attack does 10 more damage.",Fx2,,1,0.29,0.75,4.39,0.88,0.5,Normal,,
85092,Eevee (89),Eevee 89,https://tcgplayer-cdn.tcgplayer.com/product/85092_200w.jpg,3,1382,https://cpt.tcgcsv.com/S2J,2025-12-04T05:35:55.467,1,89/116,Common,60,Basic,"[1] Growl - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","[2] Quick Attack (10+) Flip a coin.  If heads, this attack does 10 more damage.",Fx2,,1,6.25,10.95,30.0,8.65,,Reverse Holofoil,,
85093,Eevee (90),Eevee 90,https://tcgplayer-cdn.tcgplayer.com/product/85093_200w.jpg,3,1382,https://cpt.tcgcsv.com/T2J,2023-01-10T16:12:47.16,1,90/116,Common,60,Basic,[1] Signs of Evolution - Search your deck for 3 Pokemon of different types that evolve from Eevee.  Reveal them and put them into your hand.  Shuffle your deck afterward.,[3] Bite (30),Fx2,,1,0.29,1.24,4.39,1.24,,Normal,,
85093,Eevee (90),Eevee 90,https://tcgplayer-cdn.tcgplayer.com/product/85093_200w.jpg,3,1382,https://cpt.tcgcsv.com/T2J,2023-01-10T16:12:47.16,1,90/116,Common,60,Basic,[1] Signs of Evolution - Search your deck for 3 Pokemon of different types that evolve from Eevee.  Reveal them and put them into your hand.  Shuffle your deck afterward.,[3] Bite (30),Fx2,,1,7.75,9.59,30.0,8.64,,Reverse Holofoil,,
85162,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85162_200w.jpg,3,1382,https://cpt.tcgcsv.com/g5J,2023-01-10T15:59:12.913,1,33/116,Holo Rare,90,Stage 1,[2L] Electro Ball (60),,Fx2,,1,2.08,3.0,9.09,2.74,,Holofoil,"Magnetic Draw - Once during your turn (before your attack), you may draw cards until you have 4 cards in your hand.  (Ability)",
85162,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85162_200w.jpg,3,1382,https://cpt.tcgcsv.com/g5J,2023-01-10T15:59:12.913,1,33/116,Holo Rare,90,Stage 1,[2L] Electro Ball (60),,Fx2,,1,2.58,4.5,7.0,3.56,,Reverse Holofoil,"Magnetic Draw - Once during your turn (before your attack), you may draw cards until you have 4 cards in your hand.  (Ability)",
85203,Empoleon (117 Secret Rare),Empoleon 117 Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85203_200w.jpg,3,1382,https://cpt.tcgcsv.com/56J,2023-01-10T16:16:34.83,1,117/116,Secret Rare,140,Stage 2,[W] Attack Command (10x) Does 10 damage times the number of Pokemon in play (both yours and your opponent's).,,Lx2,,2,,,,,,,"Diving Draw - Once during your turn (before your attack), you may discard a card from your hand.  If you do, draw 2 cards.  (Ability)",Water
85328,Espeon (Team Plasma),Espeon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85328_200w.jpg,3,1382,https://cpt.tcgcsv.com/B8J,2025-12-04T04:02:01.04,1,48/116,Uncommon,90,Stage 1,[1] Psy Alert (20) Draw cards until you have 6 cards in your hand.,[P] Shadow Ball - This attack does 40 damage to 1 of your opponent's Pokemon.  Also apply Weakness and Resistance for Benched Pokemon.,Px2,,1,4.0,4.75,8.0,4.76,,Normal,,
85328,Espeon (Team Plasma),Espeon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85328_200w.jpg,3,1382,https://cpt.tcgcsv.com/B8J,2025-12-04T04:02:01.04,1,48/116,Uncommon,90,Stage 1,[1] Psy Alert (20) Draw cards until you have 6 cards in your hand.,[P] Shadow Ball - This attack does 40 damage to 1 of your opponent's Pokemon.  Also apply Weakness and Resistance for Benched Pokemon.,Px2,,1,19.32,22.16,24.99,38.11,,Reverse Holofoil,,
85350,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85350_200w.jpg,3,1382,https://cpt.tcgcsv.com/09J,2025-01-11T11:37:06.083,1,4/116,Uncommon,30,Basic,[1G] Seed Bomb (20),,Rx2,W-20,1,2.25,3.18,8.0,4.04,5.96,Normal,"Propagation - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon into your hand.  (Ability)",
85350,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85350_200w.jpg,3,1382,https://cpt.tcgcsv.com/09J,2025-01-11T11:37:06.083,1,4/116,Uncommon,30,Basic,[1G] Seed Bomb (20),,Rx2,W-20,1,4.29,7.13,19.99,7.76,,Reverse Holofoil,"Propagation - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon into your hand.  (Ability)",
85363,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85363_200w.jpg,3,1382,https://cpt.tcgcsv.com/h9J,2023-01-10T15:52:39.693,1,5/116,Rare,100,Stage 1,[1] Blockage (10) Your opponent can't play any Supporter cards from his or her hand during his or her next turn.,"[2G] Stomp (60+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,1.18,1.58,2.3,1.41,,Normal,,
85363,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85363_200w.jpg,3,1382,https://cpt.tcgcsv.com/h9J,2023-01-10T15:52:39.693,1,5/116,Rare,100,Stage 1,[1] Blockage (10) Your opponent can't play any Supporter cards from his or her hand during his or her next turn.,"[2G] Stomp (60+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,4.49,8.0,15.0,4.93,,Reverse Holofoil,,
85502,Flareon (Team Plasma),Flareon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85502_200w.jpg,3,1382,https://cpt.tcgcsv.com/3dJ,2025-12-04T05:37:03.31,1,12/116,Uncommon,100,Stage 1,[2] Vengeance (20+) Does 10 more damage for each Pokemon in your discard pile.,[2R] Heat Tackle (90) This Pokemon does 10 damage to itself.,Wx2,,2,1.22,3.45,9.99,3.88,1.99,Normal,,
85502,Flareon (Team Plasma),Flareon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85502_200w.jpg,3,1382,https://cpt.tcgcsv.com/3dJ,2025-12-04T05:37:03.31,1,12/116,Uncommon,100,Stage 1,[2] Vengeance (20+) Does 10 more damage for each Pokemon in your discard pile.,[2R] Heat Tackle (90) This Pokemon does 10 damage to itself.,Wx2,,2,147.94,217.5,241.58,19.9,,Reverse Holofoil,,
85510,Float Stone,Float Stone,https://tcgplayer-cdn.tcgplayer.com/product/85510_200w.jpg,3,1382,https://cpt.tcgcsv.com/ddJ,2024-12-08T17:15:26.133,1,99/116,Uncommon,0,Tool,The Pokemon this card is attached to has no Retreat Cost.,,,,,4.29,6.06,19.99,6.19,,Normal,Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.,Item
85510,Float Stone,Float Stone,https://tcgplayer-cdn.tcgplayer.com/product/85510_200w.jpg,3,1382,https://cpt.tcgcsv.com/ddJ,2024-12-08T17:15:26.133,1,99/116,Uncommon,0,Tool,The Pokemon this card is attached to has no Retreat Cost.,,,,,7.51,9.89,30.0,9.73,,Reverse Holofoil,Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.,Item
85577,Frozen City (Team Plasma),Frozen City Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85577_200w.jpg,3,1382,https://cpt.tcgcsv.com/zfJ,2023-01-10T16:13:58.153,1,100/116,Uncommon,0,Stadium,"Whenever any player attaches an Energy from his or her hand to 1 of his or her Pokemon (excluding Team Plasma Pokemon), put 2 damage counters on that Pokemon.",,,,,0.4,0.99,5.0,1.3,,Normal,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Stadium
85577,Frozen City (Team Plasma),Frozen City Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85577_200w.jpg,3,1382,https://cpt.tcgcsv.com/zfJ,2023-01-10T16:13:58.153,1,100/116,Uncommon,0,Stadium,"Whenever any player attaches an Energy from his or her hand to 1 of his or her Pokemon (excluding Team Plasma Pokemon), put 2 damage counters on that Pokemon.",,,,,1.88,2.21,8.0,2.13,,Reverse Holofoil,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Stadium
85617,Garbodor (119 Secret Rare),Garbodor 119 Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85617_200w.jpg,3,1382,https://cpt.tcgcsv.com/mgJ,2023-01-10T16:16:48.287,1,119/116,Secret Rare,100,Stage 1,[1PP] Sludge Toss (60),,Px2,,3,149.99,149.99,149.99,183.32,,Holofoil,"Garbotoxin - If this Pokemon has a Pokemon Tool card attached to it, each Pokemon in play, in each player's hand, and in each player's discard pile has no Abilities (except for Garbotoxin).  (Ability)",Psychic
85626,Garchomp (120 Secret Rare),Garchomp 120 Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85626_200w.jpg,3,1382,https://cpt.tcgcsv.com/xgJ,2023-01-10T16:16:54.02,1,120/116,Secret Rare,140,Stage 2,[F] Mach Cut (60) Discard a Special Energy attached to the Defending Pokemon.,[FW] Dragonblade (100) Discard the top 2 cards of your deck.,Ox2,,1,309.99,320.0,349.95,487.45,,Holofoil,,Dragon
85694,Ghetsis (Team Plasma),Ghetsis Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85694_200w.jpg,3,1382,https://cpt.tcgcsv.com/VhJ,2023-01-10T16:14:34.1,1,101/116,Holo Rare,0,Supporter,"Your opponent reveals his or her hand and shuffles all Item cards found there into his or her deck.  Then, draw a number of cards equal to the number of Item cards your opponent shuffled into his or her deck.",,,,,0.75,2.0,5.0,2.12,,Holofoil,You may play only 1 Supporter card per turn (before your attack).,Supporter
85694,Ghetsis (Team Plasma),Ghetsis Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85694_200w.jpg,3,1382,https://cpt.tcgcsv.com/VhJ,2023-01-10T16:14:34.1,1,101/116,Holo Rare,0,Supporter,"Your opponent reveals his or her hand and shuffles all Item cards found there into his or her deck.  Then, draw a number of cards equal to the number of Item cards your opponent shuffled into his or her deck.",,,,,2.0,4.77,10.0,4.75,,Reverse Holofoil,You may play only 1 Supporter card per turn (before your attack).,Supporter
85695,Ghetsis (Team Plasma) (Full Art),Ghetsis Team Plasma Full Art,https://tcgplayer-cdn.tcgplayer.com/product/85695_200w.jpg,3,1382,https://cpt.tcgcsv.com/WhJ,2023-08-27T15:19:24.443,1,115/116,Ultra Rare,0,Supporter,"Your opponent reveals his or her hand and shuffles all Item cards found there into his or her deck.  Then, draw a number of cards equal to the number of Item cards your opponent shuffled into his or her deck.",,,,,59.99,81.19,129.99,77.03,,Holofoil,You may play only 1 Supporter card per turn (before your attack).,Supporter
